"name","is_subjective","text"
74,0,"she quickly makes friends with paul taylor , a witty mormon student filmmaker who finds jenny's ambitious dream to be the subject for his next film project . "
77,1,"a compelling , moving film that respects its audience and its source material . "
78,1,"what should have been an entertaining cinematic souvenir solely for wilco fans ended up becoming a smart , involving , and occasionally infuriating film"
79,1,"wins my vote for 'the 2002 enemy of cinema' award . "
82,1,"a dazzling thing to behold -- as long as you're wearing the somewhat cumbersome 3d goggles the theater provides . "
83,1,"not a cozy or ingratiating work , but it's challenging , sometimes clever , and always interesting , and those are reasons enough to see it . "
84,0,"in order to continue giving therapy without leaving his home he gives it over the internet . "
85,1,"a sharp , amusing study of the cult of celebrity . "
86,0,"but the latter is currently in a swedish prison cell . "
87,0,"reinalda fell hopelessly in love with her long red hair and big good-goods during her days as a french panto teacher and now she will stop at nothing , including the highest office in the land , to be with her always . "
88,0,"clara has gone wild after her mother runs off with another man . "
92,1,"hitch would enjoy the way chabrol plays with the audience ( including the expertly interwoven lizt requiem ) "
93,0,"while the two are falling for each other , the syndicate boss coincidentally sees sienna and hires her as his personal dancer . "
94,1,"nair does capture the complexity of a big family and its trials and tribulations . . . "
95,1,"the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting . "
96,0,"denied political-prisoner-of-war status , he initiates a hunger strike . "
98,0,"he initially flounders in his new world , before realizing that it takes more than talent to reach the top . "
99,0,"enter nick , charlie's best friend , who does his best to help the only way he knows how : distracting charlie with parties and girls . "
100,1,"the filmmakers wisely decided to let crocodile hunter steve irwin do what he does best , and fashion a story around him . "
101,0,"the inside story sees dean olsen ( curry ) finding a mysterious book in the cellar of his uncle's ( tingwell ) old house . "
102,1,"the explosion essentially ruined -- or , rather , overpowered -- the fiction of the movie for me . "
103,1,"testud is the burning center of a clinically dispassionate film . "
104,1,"will amuse and provoke adventurous adults in specialty venues . "
106,0,"the journey takes them from the inner city to a satanic black mass ceremony , and into the depths of their own souls , as they search for johann christoph haizmann , the antichrist . "
108,0,"when crystal's infidelities become overwhelming , kali kicks her out . "
109,0,"she finds out that the truth about both her parents is very revealing , shocking at times , but comes to terms with her past . "
110,0," "" bad santa "" is the story of two conmen who go on a road trip to malls dressed as santa and his elf . "
113,1,"painful , horrifying and oppressively tragic , this film should not be missed . "
115,1,"all of the filmmakers' calculations can't rescue brown sugar from the curse of blandness . "
116,1,"the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either . "
117,0,"after returning home from a two week trial in chicago , rachel bishop ( rachel nord ) finds her sister emily bishop ( nancy walters ) missing . "
118,0,"in 19th-century new mexico , a father ( tommy lee jones ) comes back home , hoping to reconcile with his adult daughter maggie ( cate blanchett ) . "
120,0,"shy tonho dreams of being successful , but misses his family and brazil . "
122,1,"adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary . "
123,0,"after a month , dante comes to see lucy to find out what she has decided . "
124,0,"peter must relive this brief moment at the party until he gets it right and wins jen's heart . "
126,1,"bad . very bad . stultifyingly , dumbfoundingly , mind-numbingly bad . "
127,1,"mst3k gone kung fooey , kung pow ! makes you chuckle for a bit , but leaves you hungry an hour later . "
128,0,"however due to roxie's new found fame , velma is forgotten about . "
130,1,"it's something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas . "
131,0,"the story encompasses social degradation , unemployment , racism , casual violence , excessive drink and bad sex - and how they fall into a political context . "
134,0,"however he's cauught by the mexican secret police and is forced to infiltrate a gruop political activist in the movement of 68 . "
135,1,"a beguiling , slow-moving parable about the collision of past and present on a remote seacoast in iran . "
136,0,"there aren't enough jedi to defend the republic against the threat , so chancellor palpatine enlists the aid of jango fett , who promises that his army of clones will handle the situation . "
137,0,"both they and their wives ami ( meredith salenger ) and claire ( tara westwood ) are dealing with the reality that they are no longer watching mtv , but instead find themselves flipping channels to vh1 . "
138,0,"in return for a small plot of land , george agrees to search for princess lunna . "
139,1,"the film is about the relationships rather than about the outcome . and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen . "
140,1,"broomfield seems to uncover a massive scoop here , revealing the multitude of people involved and the possible motivations behind the killings of his titular subjects . "
141,0,"the "" actress "" becomes an overnight sensation , with a major singing career as well , and everyone thinks she's a real person . "
142,1,"this is , not to put too fine a point on it , a swashbuckler , a costume drama . if you love that old story form , you will be in old-fogy heaven , as it is nearly a perfect example of a genre that died out years ago . "
143,1,"an engrossing iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed . "
144,1,"sweet home alabama certainly won't be remembered as one of [witherspoon's] better films . "
145,1,"nair doesn't treat the issues lightly . she allows each character to confront their problems openly and honestly . "
146,0,"leela is a true reflection of how the south asian-american community is beginning to emerge , blend , and influence the mainstream american culture in its own exquisite ways . "
148,1,"a historical epic with the courage of its convictions about both scope and detail . "
149,0,"starving artist gus bishop can't even give away his paintings . "
150,0,"ultimately , quinn rescues tasha from the hands of another assassin and takes her into his protection . "
151,1,"it's an exhilarating place to visit , this laboratory of laughter . "
153,1,"[t]his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . "
155,1,"the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson . . . "
156,1,"a brain twister , less a movie-movie than a funny and weird meditation on hollywood , success , artistic integrity and intellectual bankruptcy . "
157,0,"anna strikes a deal with vikrant that he'll kill guru and acquire the prize money offered by him . "
163,1,"sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours . "
166,1,"a feel-good picture in the best sense of the term . "
167,0,"the film is based on the true story of telecommunications genius walter l . shaw sr . and his son walter t . shaw jr . , the confessed "" dinner time burglar . "" "
168,1,"follows the original film virtually scene for scene and yet manages to bleed it almost completely dry of humor , verve and fun . "
169,0,"at the end of the worst day of his life , bruce angrily ridicules and rages against god and god responds . "
171,0,"but when fred is fired , the well runs dry , and our heroes come up with a new plan : make their own "" adult "" film . "
172,0,"aliens appear at the un and invite earth to join the galactic federation , there is a catch though , earth has one year to send a team of it's best fighters to represent the palnet in an unarmed combat tournament . "
176,1,"an entertaining but unspectacular film . pretty goofy at times - but the slick and gleefully self-indulgent violence will not disappoint the action fan . "
177,0,"to worsen things , during the holidays aksel gets teamed up with the two girls , fatima and annika , to perform a song to the local youth club's song contest , melodi grand prix . "
178,1,"a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew . "
179,0,"this is the story of honey ( alba ) , a tough sexy dancer from the inner city , who becomes a successful music video choreographer , a career which is threatened when her mentor makes him either sleep with him . . . "
180,1,"one of those movies that make us pause and think of what we have given up to acquire the fast-paced contemporary society . "
182,0,"the two men ( anthony and michael ) are successful in the high tech world of silicon valley , and have known each other since childhood . "
183,1,"renner's performance as dahmer is unforgettable , deeply absorbing . "
184,0,"brad gluckman ( kennedy ) is a wannabe rap star from malibu who acts and talks like he's from the "" 'hood . "" "
185,0,"if you act in an inverse way , you will not have the room for larger stones . "
186,1,"a worthy addition to the cinematic canon , which , at last count , numbered 52 different versions . "
187,0,"each of them faces a horrible , bizarre death apparently devised by the dead woman's husband , a deranged two truck driver . "
188,0,"jonathan ecks ( antonio banderas ) , an fbi agent , realizes that he must join with his lifelong enemy , agent sever ( lucy liu ) , a rogue dia agent with whom he is in mortal combat , in order to defeat a common enemy . "
189,0,"danica mckellar plays a cheerleader named lacy who lives across the street from the boy , who is obsessed with her . "
190,1,"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted . "
192,0,"along the way , he meets a long line of interesting and colorful characters , while back at home , ada is learning the ropes of managing her deceased father's farm with ruby ( renee zellweger ) , a scrappy drifter who assists and teaches ada along the way . "
193,1,"that rara avis : the intelligent romantic comedy with actual ideas on its mind . "
195,0,"they spend their afternoons discussing theater and lucy's role as antigone in a school loneliness of the city more bearable . "
196,1,"like the best 60 minutes exposé , the film ( at 80 minutes ) is actually quite entertaining . "
197,1,"an unflinching , complex portrait of a modern israel that is rarely seen on-screen . "
198,1,"has all the poignancy of a hallmark card and all the comedy of a gallagher stand-up act . "
200,1,"sunshine state is sayles at his most robert altman-ish , purposefully juggling about a dozen narrative balls in the air , and letting the mundanity and smallish drama of everyday life tell a larger story . "
201,0,"the film focuses on fatal ( nora zimmett ) , a former heroin addict who , having embraced this dark lifestyle , decides to leave her "" family "" and break free from the goth world with the help of her college tutor tom ( jeff marchelletta ) . "
203,0,"at the same time , two hitmen wants get him wacked . "
205,0,"terry , a spoilt brat is just too lazy a student . "
206,1,"an entertaining romp that stays true to the material's television roots , this film is a good starting point for viewers unfamiliar with the series . "
207,0,"the guy , named cheung , is in his thirties . "
208,1,"gosling creates a staggeringly compelling character , a young man whose sharp intellect is at the very root of his contradictory , self-hating , self-destructive ways . "
209,1,"beautifully filmed and well acted . . . but admittedly problematic in its narrative specifics . "
211,1,"tian emphasizes the isolation of these characters by confining color to liyan's backyard . "
212,1,"this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against . "
213,1,"on balance , i recommend the movie both for nicholson's performance and for the opportunity to spend some time with the kind of man that we often meet in real life , but rarely see on screen . "
214,0,"armed with just two revolvers and a dozen grenades , king persuades cuthbertson to join him on a mission to occupied france . "
215,0,"the two join forces to find out who wants her dead and why . "
216,1,"a fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system"
218,0,"a group of wayward astronauts returning from a long mission to ganymede crash land on a planet very much like earth . "
219,0,"maggie's daughter is kidnapped , forcing father and estranged daughter to work together to get her back . "
222,0,"with no job possibilities on the horizon , the two dads open their own day care facility , "" daddy day care "" , and employ some fairly unconventional and sidesplitting methods of caring for children . "
223,1,"the film jolts the laughs from the audience--as if by cattle prod . "
224,0,"he doesn't accept himself and even everyday contacts with others cause his aggression . "
225,0,"everyone is wishing for a miracle to happen this summer . "
226,1,"the script is smart and dark - hallelujah for small favors . "
227,1,"the imax version of disney's the lion king looks pretty good and sounds even better . "
228,1,"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people . "
229,1,"the new insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities . "
230,1,"movie fans , get ready to take off . . . the other direction . "
231,0,"the teddy bear syndrome a dramatization based on actual events . "
232,0,"tom is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in three divorces before the age of 40 . "
233,0,"to avenge the lives of loved ones he has lost , robert must hunt down , pursue and find each of the tong members . "
234,1,"[hayek] throws herself into this dream hispanic role with a teeth-clenching gusto , she strikes a potent chemistry with molina and she gradually makes us believe she is kahlo . "
235,0,"for sokurov , the hermitage--home to generations of romonovs and repository of so much russian history--is the ark of the russian soul , guarding it affectionately until the world sees better days . "
236,1,"it kinda works and qualifies as cool at times , but is just too lame to work or be cool at others . "
237,1,"the fact is that the screen is most alive when it seems most likely that broomfield's interviewees , or even himself , will not be for much longer . "
238,0,"detective kang goes about his new job buoyantly and enthusiastically . "
239,1,"the movie barely makes sense , with its unbelievable naïveté and arbitrary flashbacks . "
242,1,"bears is even worse than i imagined a movie ever could be . "
244,0,"it is the first time ever that he leaves the desolate village in the balkan mountains . "
246,1,"a guilty pleasure at best , and not worth seeing unless you want to laugh at it . "
247,1,"provides a porthole into that noble , trembling incoherence that defines us all . "
249,1,"at its best , the good girl is a refreshingly adult take on adultery . . . "
251,0,"isabel ( rica ) and clara ( maui ) , two childhood friends separated by fate . "
252,1,"as a revenge thriller , the movie is serviceable , but it doesn't really deliver the delicious guilty pleasure of the better film versions . "
253,0,"in the meantime , a grifter breaks into their apartments and rummages their personal belongings , thus unfolding hidden secrets . "
255,1,"has the kitsch appeal of a farm implement on a restaurant wall , or an andy warhol mao poster : interesting , but not for its original purpose . "
257,1,"marker's incredible collection of newsreel footage -- tv footage from various countries , home movies and other celluloid wonders -- eventually shapes a scattered , pinwheel idea of the era's attitude . "
258,1,"the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 , 000 leagues under the sea' and the george pal version of h . g . wells' 'the time machine . ' but its storytelling prowess and special effects are both listless . "
259,1,"fun , flip and terribly hip bit of cinematic entertainment . "
260,1,"i have to admit i walked out of runteldat . i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes . "
261,0,"figuring it will be a good way to make money fellow convict emmanuel 'mendy' ripstein ( peter falk ) sets up a prison boxing match between the two men to decide who is the real undisputed champ . "
262,1,"it's all entertaining enough , but don't look for any hefty anti-establishment message in what is essentially a whip-crack of a buddy movie that ends with a whimper . "
263,0,"exonerated of lying , king and cuthbertson are nevertheless reprimanded by the court for their behaviour , but receive an invitation to tea with the prime minister should they ever be in whitehall . "
264,0,"young cop kong yat hong ( karen mok ) and her partner mark are put on the case . "
266,1,"it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense . "
268,0,"under the queen's wrathful gaze , tops are bottomed , tranny sailors seduce pirate captains , kings are mothers and cross-dressing femmes pack a wallop . "
269,1,"like schindler's list , the grey zone attempts to be grandiloquent , but ends up merely pretentious -- in a grisly sort of way . "
270,0,"kyle goes back to darkness falls to face his past , and the woman in the porceline mask ( aka the tooth fairy ) chance barron , a has-been "" cock-rock "" front-man , has wasted nearly eight years of his life working a dead-end job at softwipe incorporated , the world's second largest manufacturer/distributor of double-plied toliet paper , but things change drastically for mr . barron when he receives a mysterious watch which counts down the number of days he has left to live . "
271,0,"a girl at a southern baptist high school finds that her pregnancy makes her an outcast . "
272,0,"people were fleeing away from the air raids on kandahar , herat and others cities and villages . "
274,1,"rises and falls on the strength of its individual episodes . mostly , it rises , though its extreme length ill suits its anecdotal structure ( or perhaps vice versa ) . "
276,0,"scott calvin ( tim allen ) has been santa claus for the past eight years , and his loyal elves consider him the best santa ever . "
277,0,"our hero , murray , must finish his long overdue thesis on "" the ten archetypes of americans in their twenties "" as the clock ticks ever louder . "
278,1,"you wouldn't want to live waydowntown , but it is a hilarious place to visit . "
282,0,"the mafia's paul vitti ( de niro ) is back in prison and will need some serious counseling when he gets out . "
283,0,"they are told the story of the chamber of secrets . "
284,0," "" a sound of thunder "" is about a game hunter ( burns ) who goes on a time-traveling safari owned and operated by kingsley's character to hunt dinosaurs in the prehistoric era . "
286,1,"huppert gives erika a persona that is so intriguing that you find yourself staring hypnotically at her , trying to understand her and wondering if she'll crack . "
287,1,"the pianist [is] a supremely hopeful cautionary tale of war's madness remembered that we , today , can prevent its tragic waste of life . here is a divine monument to a single man's struggle to regain his life , his dignity and his music . "
289,1,"worth catching for griffiths' warm and winning central performance . "
290,1,"director nolan shows here he can handle clever material with a flair . "
292,0,"impressed by his extravagant lifestyle and prowess , his young son kilo yearns to follow in his footsteps . "
293,1," "" catch me "" feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark . "
294,0,"albert is goaded by the other prisoners in the cells around him into telling the story ( in flashbacks ) of what happened when he encountered prisoner mark david chapman , the man who killed john lennon . "
295,0,"fate brings emma and bret together and they discover shared disdain for clients who collect art to impress others , follow the current trend or think only in terms of investment value . "
296,0,"these four queens became germany's most popular drag performers and have been busy fertilizing the german cultural scene . "
297,1,"for every inspired bit of absurdity , there's a lame piece of improvisational noodling . "
299,1,"tsai may be ploughing the same furrow once too often . "
300,0,"as asked in the first movie , what sort of people name their son gay m . focker ? "
301,0,"daddy &#38 ; papa explores the growing phenomenon of gay fatherhood and its impact on american culture . "
302,0,"peckerhead try to brainwash all the gays into being heterosexuals . . . "
303,0,"a happy young couple , sarah and tom ( brittany murphy and ashton kutcher ) marry against the wishes of sarah's friends and family and go to europe for their honeymoon . "
305,0,"hilarity ensues as the local developer battles to stop them while the sheriff starts to fall for the family's only daughter . "
306,0,"nearly a decade after skynet sent back the t-1000 , john connor faces a female terminator , the t-x , with power over all machines . "
308,1,"director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two . "
309,1,"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does . "
310,0,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
311,0,"time of fear is a taut psychological thriller thrusting an fbi agent and a grieving father into the dark world of a demented killer . "
313,1,"horrendously amateurish filmmaking that is plainly dull and visually ugly when it isn't incomprehensible . "
315,0,"john , completely devastated , soon finds some sketches his wife made after the accident . "
317,1,"[denis'] bare-bones narrative more closely resembles an outline for a '70s exploitation picture than the finished product . "
319,0,"a steadfast critic of united states foreign policy for decades , in the aftermath of the terrorist attacks of september 11th , his profile took a quantum leap as he provided much-needed analysis and historical perspective to concerned citizens throughout the world . "
320,0,"the film is shot in multiple formats from 35mm ( the majority ) to the newer digital format of digi-beta , with a short , eerily beautiful dream segment shot in super-8 . "
321,1,"on the bright side , it contains jesse ventura's best work since the xfl . "
323,1,"visually engrossing , seldom hammy , honorably mexican and burns its kahlories with conviction . "
324,0,"claire has a great job , great friends , and a great marriage . "
325,1,"it does what good films do best ; that is to provoke us , push our buttons , make us think and maybe even entertain us in the process . "
326,1,"the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible . it's very beavis and butthead , yet always seems to elicit a chuckle . "
328,0,"a tropical setting : a dying man , his life a disaster of decadence and mis-spent emotion . "
329,1,"sharp , lively , funny and ultimately sobering film . "
330,0,"elisabeth m&#225 ; rton's film relates , restages and remembers the tragic story of spielrein's life as gleaned from a box of her papers discovered in 1977 in the cellar of geneva's former institute of psychology . "
331,0,"not only that , cho cho is an expert in martial arts . "
332,0,"in these modern times where phrases like "" two income families "" are the norm , is it wrong for a woman to want to stay home and raise a family ? "
333,1,"excellent performances from jacqueline bisset and martha plimpton grace this deeply touching melodrama . "
334,1,"while the script starts promisingly , it loses steam towards the middle and never really develops beyond attacking obvious target . "
335,1,"manages to be diverting while never falling into a morass of battlefield clichés . "
336,1,"the subject of swinging still seems ripe for a documentary -- just not this one . "
338,0,"for diane , oscar fills a void in her life . "
339,1,"harks back to a time when movies had more to do with imagination than market research . "
341,1,"for devotees of french cinema , safe conduct is so rich with period minutiae it's like dying and going to celluloid heaven . "
342,1,"its plot and animation offer daytime tv serviceability , but little more . "
343,1,"the solid filmmaking and convincing characters makes this a high water mark for this genre . "
344,0,"caught in this battle of wills is clara's daughter , victoria , who finds she is about to be married into the same faith that murdered her father . "
348,1,"with a tone as variable as the cinematography , schaeffer's film never settles into the light-footed enchantment the material needs , and the characters' quirks and foibles never jell into charm . "
349,0,"then the trouble it&#180 ; s only stars , with betrayals , bounty killers , hostile indians and the mystery ghost who guard the gold mine . "
351,0,"she falls in love with a successful magician , whose life she has destroyed just by doing her job . "
352,1,"rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle"
354,0,"an un-relentless action film that will attract , through word of mouth , all those hooked on gaming on their pc's and drag them back into the cinema auditoriums . "
355,0,"while mitchell gets ready for school , his mother and her friend ( lisa ) plan a murder , business as usual . "
357,0,"maggie is a young cuban-american freelance writer who takes an eye opening trip back to her roots and meets a young enchanting native , mateo . "
358,0,"a slick new york publicist ( farrell ) who picks up a ringing receiver in a phone booth is told that if he hangs up , he'll be killed . . . "
359,1,"a heartfelt , understated and occasionally heavy-handed slice of heartland . "
361,0,"as soon as they blow yakavetta away , it is revealed that the macmanus father and sons have been hiding out deep in the glens and valleys of ireland for three years . "
363,1,"a cruelly funny twist on teen comedy packed with inventive cinematic tricks and an ironically killer soundtrack"
365,1,"for anyone who cares about the future of america , it's required viewing . "
366,0,"barbara novak ( renee zellweger ) has just come down from maine to new york after writing a book called down with love . "
367,0,"they literally bump heads one night , and become best friends . "
368,1,"captivates and shows how a skillful filmmaker can impart a message without bludgeoning the audience over the head . "
369,1," . . . has a bit more going for it than just bikini babes and bitchin' waves . but the plot is ankle deep at best . "
371,0,"they board the boat that is to carry them to the isles of the blessed . "
372,0,"his own colleagues after him , john follows a very small trace that might hold the key to his innocence , a strange unsolved yet predicted murder and a so-called "" minority report "" , a documentation of one of the rare events in which a precog sees something different than the other two . "
373,0,"ryan plays a lonely new york woman who discovers the darker side of passion after becoming involved with a tough homicide detective who is investigating a series of murders in her neighborhood . "
375,0,"on the other side of town a woman named jill valentine tries to escape from the city while battling zombies and matt adison , now transformed into a monster called "" the nemesis "" who is bent on destroying all who live . "
376,0,"but our wet hero isn't dead , and soon finds himself in zurich . "
377,1,"content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance . "
378,1,"de niro looks bored , murphy recycles murphy , and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal . "
379,1,"there is one surefire way to get a nomination for a best-foreign-film oscar : make a movie about whimsical folk who learn a nonchallenging , life-affirming lesson while walking around a foreign city with stunning architecture . "
381,1,"graced with the kind of social texture and realism that would be foreign in american teen comedies . "
382,1,"after all the big build-up , the payoff for the audience , as well as the characters , is messy , murky , unsatisfying . "
383,0,"a documentary about the intellectual pacifist progressive president woodrow wilson , showing his place in history as the president who oversaw america's transformation into a singular global power , but also his failed quest for world peace , due to his poor physical stamina and political dexterity . "
384,1,"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely . "
385,0,"a publication that documents their culture and demonstrates how the real world can both destroy and enhance their idealistic one . "
386,1,"for those in search of something different , wendigo is a genuinely bone-chilling tale . "
387,0,"in the end family , good friends , and a supportive community rally to help him once again find joy . "
388,0,"deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking . "
389,1,"[a]n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s . "
390,0,"he lives in a motor garage with his six friends . "
391,0,"it's "" best in show "" meets "" strictly ballroom "" via "" kids in the hall "" . "
392,0,"eleven year old david wiseman is mad about cricket but no good at it . "
