"name","is_positive","text"
66,0,"it's like gere's character is psychic , but neither he nor the fbi ( or the screenwriters ) seem to know it ."
68,0,"here is a story that could have made use of various camera angles and lighting to heighten its impact ."
69,0,"once in vegas , the movie settles down to the effectively staged fight sequences between vince and caesar ."
70,1,"the supporting roles are well filled out , from geoffrey rush as will's worrisome agent , philip , to tom wilkinson as the producer hugh fennyman ."
72,0,"much of the blame can be placed on leder directly , because the pace is disastrously off ."
73,1,"wild things is a film noir of the 90s , filled with 40s sensibilities , and yet breaking the rules and modern-day taboos of 90s culture ."
74,0,"never mind that it's not clear how the brothers end up fighting suited bad guys inside an automobile crash-testing facility ."
75,0,"carlyle and miller are the titular highwaymen , plunkett ( carlyle ) who is poor and unruly , and captain james macleane ( miller ) a clean cut gentleman ."
76,0,"and those expecting a hearty laugh or two will find it difficult even to smirk during all of the headache-inducing hi-jinks ."
77,1,"if we are to believe the semi- biographical gods and monsters , whale would have wanted it to be that way ."
78,0,"in an amusingly unironic scene , walken plays poker with the foursome and describes each of their personalities to a tee--it's as if he was reading the summary sheet for a casting director ."
79,0,"note : but if anyone out there liked aatish ( by the same director ) , i guess you'd like this movie ."
80,0,"if you're a fan of norm macdonald's other chaotic comedy , dirty work , you might actually love this near-sequel ."
81,1,"under the direction of bruce beresford ( crimes of the heart , tender mercies ) , driving miss daisy seems a bit stagey now and again ."
82,1,"porter is only trying to get back what is not-so-rightfully his , which in a way is almost understandable ."
83,0,""" 
 "" and peeing is a big part of my day , just like with felix , "" chuckled another fellow , as he fastened his trousers up around his nipples and prepared to rejoin his wife ."
86,1,"the soldiers of three kings have taken their cue from movies about vietnam ."
87,1,"among those who find this conversion hard to believe are david kleinfeld ( penn ) , carlito's crooked attorney and childhood friend , and bodyguard pachanga ( luis guzman ) ."
88,1,"as the film goes on , and circumstances get worse and worse , the characters have to make real human decisions , and we can sympathize with them as humans not characters ."
89,0,"' 
opening , the film starts with the opening yellow crawl that features in every star wars movie and computer game ."
92,0,"not helping matters is the fact that kevin is having ideas about a possible affair with a sexy lawyer ( connie nielson ) also working with the firm ."
94,1,"one time he had to say to mcgann's doctor , "" i always dress for the occasion ."
95,0,"and let's face it , probably half the people who see this movie will do so because of zeta-jones ."
96,1,"novak ( matthew perry ) , a shy , clumsy , chicago based architect , along with openly gay partner , peter steinberg ( oliver platt ) , fights for projects day in and day out ."
97,0,"he persuades his old friend hodges to represent him in the courtroom drama that occupies the second half of the film ."
100,1,"some characters are just plain strange including a highly-energetic deejay in drag ."
102,0,"jericho cane ( arnold schwarzneggar in hit typical macho role ) is a cop who finds out that he is chosen to track down satan ( living in gabriel byrnes body ) and stop him from impregnating christine york ( robin tunney ) because if he does , and she gives birth all existence as we know it will cease to exist ."
104,0,"in a regular batman film , they'd concentrate on the relationship with the girlfriend a little more , but elle macpherson's julie madison is so limited here that we never get a real sense of who she is ."
105,0,"everyone has to eat , i guess , but this isn't a meal ticket , it's leftovers . 
"
106,0,"the effects are no longer new , and , as shot by television cinematographer shelly johnson , rather murky looking at times ."
107,1,"the intertwining of stories is a particularly good element to the movie , as it's never really confusing and tells different sides of the story , like sliding doors kinda did ."
109,1,"along the way , valjean meets and falls in love with a peasant woman , fantine ( uma thurman ) , and vows to take care of her daughter , cosette ( played later by claire danes ) ."
110,0,"soon they're frolicking around in the fields and for some reason waste no time letting people in town ( especially jasper's best friend ) see them together ."
112,0,"all in all , the mind of a psycho killer turns out to be a strangely dull place , and i kept wishing i could fast-forward to the next development ."
113,1,"they go through a few break-up/make-up cycles until mike's childhood pal and fellow rounder "" worm "" ( norton ) is released from prison ."
115,0,"perez might have some screen presence if he's given something to do with himself , but here he's simply thrown in front of the camera as a pretty face ."
116,0,"but they need the money , so joe finally agrees to take a part in a madonna video ."
117,0,"stiles' best friend ( rosario dawson ) is a pot head , prinze's roommate ( shawn hatosy ) is a girl crazy fool who can't meet women , and then there are the porn stars ( zak orth and selma blair ) ."
118,0,"nossiter's film thoroughly explores this neurotic territory in addition to delving into the americanization of greece and the use of mysticism as an illusion to deflect pain ."
120,1,"what does add a lot to the story is gloria stuart , whose stunning performance is the strongest , most moving of the film ."
122,1,"he kicks the horned king away , who is then magically sucked into the black cauldron , where its powers immediately destroy him completely ."
123,1,"the price is too high , but the owner of the store next door will secretly sell it to her for a more affordable sum ."
124,0,"this predictable summer thriller is only sporadically involving , and that is unfortunately not enough to compensate for all of it's detailed flaws ."
125,0,"at least the film is honest , and makes no mistake that it is anything more than idiotic ."
127,0,""" why are they churning out stale dialogue with machine-gun rapidity ?"
128,0,"eve's bio-rhythms go off the scale each time one of her kinfolk "" mates , "" which we are forced to witness in gross-out detail , but otherwise there doesn't appear to be a whole lot of reason why henstridge is in this film , unless it was written into her contract ( let's hope it cited one sequel and one sequel only ) ."
129,0,"get past one moment early on where john travolta exercises his southern accent , and you're likely to survive this entire movie ."
130,0,""" 
and when there were scattered giggles during the most dramatic moments ."
131,0,"but after the first twenty minutes , the movie quickly plummets and degenerates into a poor excuse for a comedy ."
132,0,"together they attempt to find and destroy the surprisingly elusive godzilla ."
133,1,"first , we might notice unusual structure of the plot - relatively minor subplot is used as movie's ironic prologue ."
134,0,"he is teamed with rape investigator sarah sunhill ( madeleine stowe ) to uncover the truth about the peculiarly gruesome murder ."
136,0,"while director steve miner has several horror films on his resume ( including two installments of "" friday the 13th "" and "" halloween h20 "" ) , screenwriter david kelley ( best known as the creator of tv series like "" ally mcbeal "" and "" chicago hope "" ) doesn't seem to have the stomach for a chomp 'em up flick ."
137,1,"however , karen develops a rapport with jack foley , and finds that she begrudgingly likes the guy ."
138,0,"plot elements are introduced into the film , and then thrown away just as quickly ."
139,1,"like any war film , glory has its share of gloom and despair , but ultimately it proves to be a truly uplifting experience and an important history lesson , a valuable reminder that despite what the history books say ( or , more precisely , what they do not say ) , blacks played a critically important role in the north's victory over the south--forever changing the evolution of america . 
"
140,1,"the sheer , in-your-face exuberance that marked reservoir dogs and especially pulp fiction is absent ."
142,1,"to me , nicolas cage sounds like an ideal choice for the lead role in a martin scorsese film ."
143,0,"glances don't communicate any deeper emotions just because you draw them out for five hours on end ."
144,0,"jay's ex-girlfriend natasha ( vanessa angel ) becomes infatuated with jay again once she thinks he is going out with someone else ."
145,1,"anderson is very appreciative of the animators who worked with him and often points out which animator worked on each scene as they occur ."
146,1,"but at least we still have the proof to show all would-be producers and directors out there just how good a film can be . 
"
147,1,"without derek's leadership , they have shunned the white supremacist ideology for the white supremacist culture ."
148,1,"travolta was at his pinnacle as a sexual icon , cool , but non-threatening ."
149,1,"the movie is rated r , for * one * use of the word motherf * * * * * . 
"
150,1,"judging by a series of poorly recieved ( financial and critical ) comic book based films ( such as batman and robin , steel , barb wire , the crow : city of angels , and the list goes on ) , one would come to the conclusion that comic books are the worst medium to translate into film ."
151,0,"the chase severely limits the interplay of ape and human and the examination of each's place in this reversed society , each important in the book ."
153,0,"when the girls are questioned , their confession of guilt is accompanied with an announcement of their return to god and they are thereafter converted to immaculate witnesses , led lustfully by abigail ."
154,1,"soon simon is sadly beaten by thieveing burglars , and ray ( cuba gooding , jr ."
155,1,"the darkest segment , spiritually speaking , actually belongs to the only holdover from the original fantasia , mickey mouse in the sorcerer's apprentice by paul dukas ."
156,1,"once the film does settle in , it is often funny and always cheerful ."
157,1,"his rise out of the water , with the smoke coming off of his slicked head , is a brilliant 30 seconds of film ."
158,1,"for example , john realizes emma is not and probably never was his wife so he does not feel an emotional bond to her , yet in some scenes crucial to the film's plot , we are expected to believe they do have a genuine love for each other , which is also part of the film's climax and ending ."
159,1,"although almost all of the movie happens in flashback , one of the engineers shows the elderly rose exactly how the ship was sunk ."
160,1,"the latest movie morass from hollywood , the crew , appeared equally destined to fail , a strange combination of grumpy old men and goodfellas tossed together with the likes of richard dreyfuss and burt reynolds helming the ship ."
161,1,"besides the stylistic and larger-issue arguments for seeing this film , i recommend seven because it is , after all , also a very slick and well-made thriller ."
162,0,"it's a good thing most animated sci-fi movies come from japan , because "" titan a ."
163,1,"as said above , vaughn is superb as trent , he's definitely the best thing in the film ."
164,1,"recently , i've seen the films of hitchcock , capra , fellini , godard , kurosawa , chaplin , lang , and many others ."
165,0,"alessandro nivola plays robin fleming , a troubled , directionless 21-year-old who has a penchant for breaking storefront windows in a small town ."
166,0,"davis , playing the same woman with low self-esteem that she played in deconstructing harry , has a few touching moments , but ends up the same despicable celebrity-type that fills the rest of the movie ."
167,0,"emmerich should have done away with 90% of the humor and in-jokes and played this one as a straight action film ."
168,0,"this is one of the worst love stories i have ever seen on screen , even worse than the one in pearl harbor ."
169,0,"unable to find true notes of unspoken familial empathy in the one-note and repetitively bitchy dialogue , screenwriters kristin amundsen and hans petter moland fabricate a series of contrivances to propel events forward -- lost money , roving street hooligans looking for drunks to kick around , nosy cops , and flat tires all figure into the schematic and convenient narrative ."
170,0,""" he proclaims over and over as the aftermath of his stupidity brings about looks of disgust from the others ."
172,1,"smaller roles , but equally terrific , are handed to jimmie ( quentin tarantino ) , a young married man who gets caught up in some serious gangster business , lance ( eric stoltz ) , the far-out drug dealer , as well as maynard ( duane whitaker ) and zed ( peter greene ) , two hillbillies who are the men "" behind "" ( no pun intended for those of you who have seen this ) a very disturbing scene towards the end of the film ."
173,0,"the jokes are bluer , the script is poorer ( it is the last script written by talbot rothwell ) , but the music is a marked improvement ."
174,1,"kelly who is the mastermind of the practice and ally mcbeal , writes this movie with ease and surprisingly does a great job ."
176,0,"these characters are recurrent on the series , and their appearance in the film was met with whoops from the audience ( suggesting their popularity among fans - actually most of the audience could pass for "" the lone gunmen "" ) ."
177,1,"a hapless rock group write a song about bubby and sing it for him and so give him the gift of community ."
178,0,"other than that , it's a standard romantic comedy with a very substandard gimmick . 
"
179,1,"she stumbles around , half-grabbing onto things and knocking them over , and when she speaks , she lets out a low guttural sound that eventually turns into baby talk ."
180,0,"deuce bigalow : male gigolo is available on dvd from touchstone home video ( a division of di$ney ) ."
181,0,"neither were spared bloody retribution for breaching wiseguy regulations ."
182,0,"then there's the matter of francine ( glenne headly ) , dwayne's devoted secretary ."
183,1,"there is so much going on in "" moulin rouge "" that "" musical "" seems too small a term to cover it ."
184,0,"using a ramp , he shoots straight out of the top of the building's attic , and when he hits the ground , he just rides off in a cloud of dust ."
185,1,"she's given plenty of development , but we never understand what she is thinking ."
186,0,"smelling yet another book deal , gale weathers ( courteney cox arquette ) comes to the set to investigate and finds her ex-boyfriend dewey riley ( david arquette ) acting as a technical consultant and getting chummy with jennifer ( parker posey ) , the actress playing gale in "" stab 3 ."
187,1,""" 
like "" fantastic voyage "" ( 1966 ) , the pseudo-science animation then takes over when his body's immune system contacts traffic control as an ingested virus hits the digestive system : "" be on the alert for illegal organisms !"
188,1,"haven't wanted to check it out on video , haven't been at home the nights it was on network tv , and it was too far to drive the last time it was on the big-screen ."
189,0,"personally , i'm hoping americans everywhere will rise to the occasion and make young einstein a box office bomb ."
190,1,"sure , there's a zinger here and there , but war doesn't change the fact boys will be boys ."
191,1,"as a whole , the entire cast works wondrously together , and they seem at home , even when doing the menage a troi ."
192,0,"while he is adept at dramatic roles , his forte is over-the-top free spirits ."
194,1,"this film is based on the memoirs of late humorist jean shepard , who shares his experiences as a young boy living in the 1940's with loving detail ."
197,0,"the film could be enjoyably campy if it didn't take itself so damn seriously ."
199,0,"they are to work together , under mother's orders ( mother is played by jolly jim broadbent , while his co-conspirator , father , is played by the equally-talented fiona shaw ) ."
201,1,"groeteschele seems to forget these people are human beings with emotions ; general black quickly reminds him that the soviets would attack out of revenge--as any normal person would ."
202,1,"this triggers the lab's last-ditch defense mechanism , an atomic bomb ."
203,0,"a big bonus for those of us who were looking for similar moves in the first movie and found them only rarely ."
205,1,"and of course the movie's far from over when hanks does locate ryan ( matt damon , the other guy you get when affleck isn't available ) ."
206,0,"the mod squad is certainly a slick looking production , complete with nice hair and costumes , but that simply isn't enough ."
207,1,"i found it not to be boring at all and it's only flaw comes from some predictability ."
208,0,"he is only just saved by prentice , who appears in all respects barring his protective attitude towards karl to be your average street-wise punk-in-the-making ."
209,1,"also very good is radha mitchell as syd , who previously starred in the slight 1997 australian comedy , "" love and other catastrophes , "" wh caught me by surprise with her performance ."
210,1,"in hollywood , jay and silent bob sneak onto the miramax lot where they crash the set and are mistaken for extras of the latest affleck-damon picture , good will hunting 2 : hunting season ."
211,0,"maybe it's that , her body , which gets her into the big-time when the star of the "" stardust hotel "" , crystal connors ( gina gershon ) stops into the strip club ( it certainly isn't her brains or pleasant disposition !"
212,0,"their island paradise has room , of course , for one more in the form of the still-alive killer ( muse watson ) from the first film ."
213,0,"the primary allure of the original was the interaction between the two leads ."
215,1,"take the ruggedly handsome victor plaza ( liberto rabal ) , for instance ."
221,0,"of course , there's a bathroom full of old guys who would strongly disagree with every word i've written , and would probably whip my "" young-whippersnapper "" ass to boot ."
225,1,"russo screams during her delivery , the crime lord has a few funny bits when he's being interrogated while being given laughing gas , and pesci and rock are very funny as they go at it discussing the drawbacks of having cellular phones ."
226,0,"the plot concerns two losers named gordie boggs ( david arquette , aptly cast as a neandrathal ) and sean dawkins ( scott caan ) who are so obsessed with professional wrestling that they believe everything they see on wcw monday nitro is something more than a flashy show ."
228,0,"it's all pretty tame stuff , but max ends up in hot water when dad nixes the move , leaving his son dangling in the wind like so many tampon strings ."
229,0,"moreau 
accomplishes little and is nothing more than an inferior version of `the planet of the apes' ."
231,1,"now , in species , we have a mundane retread of the andromeda plotline , derailed by a preoccupation with removing the clothes from the leading lady and further ruined by a mediocre attempt to emulate several recent horror films in terms of splatter , gore , and chases ."
232,1,"most importantly , much of what transpires during the course of the winter guest will find an echo in our own lives ?"
233,1,"kenner , usually cast in icy subordinate roles , is terrific as a highly intelligent , extremely manipulative femme fatale ."
234,1,"she is just marvelous as her hatred towards what she thinks to be an unjust system is expressed ."
235,0,"the words "" family entertainment "" have never been a stamp of quality , but might joe young is just a silly special effects movie pretending to have a heart ."
236,0,"budget , de bont and screenwriter david self make hash out of a perfectly lovely piece of terror ."
239,0,"slater has never been convincing and certainly isn't here and oldman is on a bad streak of hammy performances ."
240,1,"in the first showdown between quinn and stavros , the movie wears its ambitions proudly on its sleeve : nonstop action ."
241,1,"it was , believe it or not , one of the funnest times i've had at the movies all year ."
242,1,"this italian film star , best known in the united states for the poorly received son of the pink panther , has done the near impossible by creating a comic fable about the holocaust ."
243,1,"some of the model heads look appaling fake , and quatto is a major disappointment ."
244,0,"review : "" evolution "" certainly has the ingredients for a decent comedy ."
245,0,"heaven's prisoners is about ex-alchoholic ex-cop dave robicheaux ( alec baldwin ) who's trying to discover life anew running a bait shop and boat hire business with his loving , down-to-earth wife annie ( kelly lynch ) ."
246,0,"edward norton is an insomniac trying to enlighten his dull life by going to a variety of disease therapy sessions , until he meets marla ( helena bonham carter ) ."
248,1,"jar jar usually performs a comic-relief role in the film , lightening scenes with his mishaps and inability to stay out of trouble ."
250,1,"if chris farley had strapped some fake mutton-chop sideburns to each side of his head , spoken with a thick irish accent , and tried his damnedest to play it straight , he wouldn't have been nearly as funny as brendan gleeson in "" i went down ."
252,0,"with ivan reitman as director , bill murray as star and harold ramis as co-star and co-screenwriter , it seemed like it would be ghostbusters in the army ."
253,0,"morneau 
 ( you remember , the one with marlon brando in mime make-up and a not so flattering moo-moo ) , and now this ."
254,0,"i can't imagine anyone with a reasonable attention span being more than momentarily distracted by this pointless adventure ."
256,1,"the suggestion of what happens is far more disgusting than anything actually shown--like most of the violence in "" pulp fiction "" ."
257,1,"the story's pretty much your average fare , but with a decent twist involving the main villain , a highly clouded figure named jun tao ."
259,0,"in addition , allen decides he needs a scene in which the theme is expressed explicitly ( robin , in this scene , says something like , "" it's interesting to see the way we all look at the people we celebrate !"
260,1,"and hanako discovers along the way that a few giveaways here and there make a bit of a difference ."
261,1,"steven , who is emotionally marred by this turn of events , is secluded in a tiger cage with water up to his face when he refuses to participate ."
262,0,"the happy couple "" psychoanalyze "" each other ; they pick out a song because , as prinze's dj mother ( lucie arnez ) explains , every couple needs a song ; he smells her shampoo ; she scratches his chest in the morning to let him know she wants to make love ."
264,1,"among those who sign on to save the earth are a group of high school classmates from buenos aires : conflicted rich kid johnny rico ( casper van dien ) ; his math whiz girlfriend carmen ( denise richards ) ; dizzy ( dina meyer ) , who secretly carries a torch for johnny ; and carl ( neil patrick "" doogie howser "" harris ) , who not-so-secretly carries a torch for dizzy , and also has a talent for speaking telepathically to ferrets ."
265,1,"her husband nick parsons has made a surprise for her and is going to buy her the sailboat she has always wanted ."
267,1,"i'm not the war movie genre biggest fan , but i found this film to be gripping , and very scary , thanks to the excellent cast , direction and terrifying battle scenes ."
268,1,"the film is innundated with sly mischievousness which seems clearly the influence of mr ."
270,0,"nonetheless , these two actors are essentially the entire list of things that are good about instinct ."
271,0,""" 
kudrow isn't given enough time to create a full personality with maddy , so it isn't her fault she doesn't register until a few quiet moments sprinkled throughout where she is actually blessed with being given dialogue ."
273,1,"javert is hell-bent on upholding the law , and he does everything in his power to bring jean to justice ."
274,1,"but despite these qualms , the last days of disco is a funny , warm movie , which is certainly worth seeing , and is a fitting homage to the disco era of the 80's ."
276,1,"i won't reveal the rest of the story , but i'll definitely say that it turns out to be a real bummer of a night , despite the cool trophy they win ."
277,1,"this is a hamlet whose pain we feel , whose struggle we empathize with , and whose death we mourn as sincerely as horatio at film's end ."
278,1,"first , rudy's time is split juggling three cases , rather than concentrating on a single high-stakes case ."
279,0,"as often happens with writers who are working below what they are actually capable of , most of the really good lines are throwaways , while the big , painstaking gags mostly fall flat ."
281,0,"and they're the only reason to check out hollow man , preferably as a mid-week bargain rental ."
282,1,"there's definite tension as there seems to be an unknown , but certainly hostile , third party involved who is manipulating both sides ."
283,0,"after spending an unprecedented amount of time in an isolated cell for attempting to escape , bacon murders another prisoner and faces trial ."
284,1,"i am not a fan of the x-files , i only watch it when nothing else is on and i prefer millennium ."
285,0,"soon , a heavy research is conducted to find out who wrote the letter based on the type of bottle and a ship logo on the top of the typed message , and after it is traced to a man named garrett blake , theresa finds herself traveling to the outer banks , a boating town in north carolina , to find out the specifics of the message ."
286,1,"goodman merits 1998's first oscar consideration , as walter's manic temper is one of "" the big lebowski "" 's many highlights ; the same goes for moore , whose throaty , delectable performance as maude is a hilarious hoot ."
287,1,"got to buy it , or risk little billy's temper tantrums for the next month ."
289,1,"after the prison's governor ( warren clarke ) reprimands them , he's awed at what briggs has accomplished ."
290,1,"it's a wonderful film , a highly underrated little masterpiece which was shelved after it didn't do so hot ."
291,1,"and then it is shattered by the intense violence of the second ( which encompasses most of the movie ) ."
292,0,"the most depressing thing about the depressingly pedestrian james bond film "" the world is not enough "" is its final frame : white letters on a black background proclaiming "" james bond will return ."
293,1,"from otis redding to jimi hendrix , janis joplin to the mamas and the papas , and jefferson airplane to the who , this documentary is jam-packed with contagious energy ."
295,1,"the film does contain a few missteps : a subplot involving hugo's theft of the school mascot is left hanging ."
296,1,"the film's cast is exceptional with oscar caliber performances by catherine keener , aaron eckhart , and jason patric ."
297,1,"for the first hour or so , i can quite honestly say i was on the verge of tears ; these are miserable , miserable people ."
298,0,"this film might have been a really engaging experience under another director's control ."
299,0,"the filmmakers created a remarkable buzz that the story might be real ."
300,1,"he almost guarantees that no matter what else happens in the rest of the movie at least the audience is going to get one good performance ."
302,1,"try to imagine a toned-downed version of travis bickle who , this time around , is a jittery guy with knowledge of government conspiracy cover-ups ."
303,0,"although i get the distinct impression that without them , this film would have ranked in negative numbers for me ."
304,0,"every single word out of her mouth is supposed to be racy and hip , but her incessant wisecracking is poorly-written and merely stupid ."
305,0,"andrew kevin walker's screenplay takes only the character names from the classic short story "" the legend of sleepy hollow ."
306,0,"by the time he reaches the island , he will almost be dead from the "" brain cloud "" anyway , so joe agrees ."
307,1,"we already know that there's going to be a happy ending ; we feel like we spend the entire film , however enjoyably , in a straight line going towards that point ."
308,1,"one gets that choking sensation in the throat ( because of grief ) when one brother forgives another for a costly mistake , or when a husband hugs his wife after a long estrangement ."
309,0,"what is more than a little far-fetched is that keaton is distinctly older than ryan and kudrow , although in the very brief glimpses we get at them as children , she is no more than five years ryan's senior ."
310,1,"and , of course , the physical resemblance makes it that much easier to accept elspeth and frances as parent and child ."
311,0,"the three are just a small part of a large group trying to stop the kilrathi before they take over earth ."
312,0,"in a role so diametrically opposed to what the actor has played before we should have seen it coming , fichtner isn't perfect--you can see him struggling a little at times , concentrating a little too hard on the look as he swishes his hand through the air , or nuzzles a coiffed canine up close and personal--but he's pretty damned good , and silly , and without question the best thing in the film ."
313,0,"her son , jackson ( johnathon schaech ) and his girlfriend , helen ( gwyneth paltrow ) , live in new york , and have no intention to move back down south to the rural kilronan ."
314,0,"it has some good qualities ( animation , message in the end ) but the flaws seem to overpower the goods ."
316,0,"( never mind that the ba'ku didn't exactly evolve-they went wandering in the universe one day and stumbled upon the magic world ."
317,1,"volcano had an original premise , but destroyed that with some very ridiculous situations ."
318,0,"other people will buy it from them , and make it , and we will pay money to see it ."
319,1,"in the supporting roles , billy cox is greatly sympathetic as the ira leader losing control of his daughter and his workers ."
320,0,"all the while , the woman has no idea who her guardian angel is and the eye stays just out of sight ."
321,1,"increasingly , the cinema landscape seems to have become littered with endless permutations of 'kung fu woman'--female characters virtually indistinguishable from male action figures ."
322,1,"at a party with her best friend linda ( kim dickens ) , annie stumbles upon jessica in a compromising position with lawyer david duncan ( gary cole ) ."
323,1,"this is the actor's finest work since his breakthrough into the hollywood market in the early 80's ."
324,0,"what really dissappointed me about this movie was that it tried to scare you in entirely the wrong way ."
325,1,"many of the action and murder sequences are directed with his characteristic finesse and feature plenty of intriguing camerawork ."
327,0,"amazingly , aside from gilbert gottfried's 90 seconds of screen time , there was no comedy in the film for me to express myself in such a manner ."
328,1,"low and behold , a teen thriller that is actually unsettling , actually suspenseful and -- yes -- actually intelligent ."
329,1,"in the present-time of the film , danny is in high school , and eager to follow the footsteps of his brother ."
330,1,"i'm not about to say , because the plot point is crucial to the rest of the story ( many critics , however , give it away ) ."
331,1,"essentially , what all of this means is that shyamalan has made another good film with unbreakable ."
332,0,"for now , maybe it's an appropriate eulogy to an actor who could only get better . 
"
336,1,"instead he leaves some ambiguity and forces those curious enough to get the real meaning to watch the film several several times ."
340,1,"his initial reaction to hearing about his girlfriend's suicide is one of the most affecting scenes i have ever seen in a film ."
341,0,"blond male has become a complete jerk and quarterback on some college football team ."
343,0,"but you have to sit through a snoozer plot that has the organization of a rorschach blot ."
